seed,mu,E,client,measured_delta,grad_norm_at_w0,exact_solve_iters
0,0.5,20,11,0.00046717513579564763,1.8127084768747979,3000
0,0.5,20,12,0.00024434092906327977,3.6932133803977036,3000
0,0.5,20,13,0.00011740349769211013,2.938452666868414,3000
0,0.5,20,14,0.00017245609865273721,2.9427433115271953,3000
0,0.5,20,15,2.451914417961819,3.037461162199718,3000
0,0.5,20,16,0.0030699562923043513,2.369561562452599,3000
0,0.5,20,17,0.0011048107057952676,2.1950998244769973,3000
0,0.5,20,18,0.00016109970443097706,5.149973210214156,3000
0,0.5,20,19,0.00012526688876964603,2.351274470087229,3000
0,0.5,50,0,2.3076439705526808e-08,6.159385642685968,3000
0,0.5,50,1,1.7720901184350517e-06,3.1789750284436193,3000
0,0.5,50,2,1.0421574352748704e-08,2.0367976708378954,3000
0,0.5,50,3,2.705155463921836e-08,2.70339122003791,3000
0,0.5,50,4,2.4246379446620134e-08,1.8863118917032797,3000
0,0.5,50,5,9.526927089167357e-09,3.7242765707844425,3000
0,0.5,50,6,3.012875892992623e-08,5.110804209579576,3000
0,0.5,50,7,4.611277348694326e-08,1.0714384012209426,3000
0,0.5,50,8,2.4170800158336783e-08,3.1958123443426714,3000
0,0.5,50,9,1.32296868254078e-08,4.2139813295610296,3000
0,0.5,50,10,0.3453765703145749,3.439528000400227,3000
0,0.5,50,11,4.3026604916388804e-08,1.8127084768747979,3000
0,0.5,50,12,2.3010344483093038e-08,3.6932133803977036,3000
0,0.5,50,13,9.09242218003241e-09,2.938452666868414,3000
0,0.5,50,14,1.639864202657891e-08,2.9427433115271953,3000
0,0.5,50,15,2.451866148590591,3.037461162199718,3000
0,0.5,50,16,4.839290121553102e-06,2.369561562452599,3000
0,0.5,50,17,1.0821981873234327e-07,2.1950998244769973,3000
0,0.5,50,18,2.263724158306162e-08,5.149973210214156,3000
0,0.5,50,19,1.2606298136257516e-08,2.351274470087229,3000
0,1.0,1,0,2.6945728447496937,6.159385642685968,3000
0,1.0,1,1,1.283601061775822,3.1789750284436193,3000
0,1.0,1,2,0.2851359453817625,2.0367976708378954,3000
0,1.0,1,3,0.7617630329226407,2.70339122003791,3000
0,1.0,1,4,0.3741948136020748,1.8863118917032797,3000
0,1.0,1,5,1.2472446341418182,3.7242765707844425,3000
0,1.0,1,6,2.108113209394923,5.110804209579576,3000
0,1.0,1,7,0.2113239233697847,1.0714384012209426,3000
0,1.0,1,8,0.9417886158802287,3.1958123443426714,3000
0,1.0,1,9,1.5263775388877456,4.2139813295610296,3000
0,1.0,1,10,1.3420304903510283,3.439528000400227,3000
0,1.0,1,11,0.28220683245347084,1.8127084768747979,3000
0,1.0,1,12,1.2289117469193613,3.6932133803977036,3000
0,1.0,1,13,0.7907327293779058,2.938452666868414,3000
0,1.0,1,14,0.7959847881806097,2.9427433115271953,3000
0,1.0,1,15,1.3393974668968736,3.037461162199718,3000
0,1.0,1,16,1.33932558817986,2.369561562452599,3000
0,1.0,1,17,1.077781672393204,2.1950998244769973,3000
0,1.0,1,18,2.1327781427731494,5.149973210214156,3000
0,1.0,1,19,0.45489167003570846,2.351274470087229,3000
0,1.0,2,0,1.1547421725528264,6.159385642685968,3000
0,1.0,2,1,0.2602865117075832,3.1789750284436193,3000
0,1.0,2,2,0.034457936614702284,2.0367976708378954,3000
0,1.0,2,3,0.08052005559147378,2.70339122003791,3000
0,1.0,2,4,0.17180790806484572,1.8863118917032797,3000
0,1.0,2,5,0.31805269916813816,3.7242765707844425,3000
0,1.0,2,6,0.8305061349749884,5.110804209579576,3000
0,1.0,2,7,0.11071028211040611,1.0714384012209426,3000
0,1.0,2,8,0.1534878761901617,3.1958123443426714,3000
0,1.0,2,9,0.4730233679000494,4.2139813295610296,3000
0,1.0,2,10,0.205508044403755,3.439528000400227,3000
0,1.0,2,11,0.06979118547571812,1.8127084768747979,3000
0,1.0,2,12,0.3076557875280061,3.6932133803977036,3000
0,1.0,2,13,0.07760461428355354,2.938452666868414,3000
0,1.0,2,14,0.08736980845879534,2.9427433115271953,3000
0,1.0,2,15,0.8561747606086773,3.037461162199718,3000
0,1.0,2,16,0.4244013421449332,2.369561562452599,3000
0,1.0,2,17,0.26830371678622456,2.1950998244769973,3000
0,1.0,2,18,0.8453010246647022,5.149973210214156,3000
0,1.0,2,19,0.038300241124897216,2.351274470087229,3000
0,1.0,5,0,0.21103718437131094,6.159385642685968,3000
0,1.0,5,1,0.2931644140984988,3.1789750284436193,3000
0,1.0,5,2,0.0017029286261895115,2.0367976708378954,3000
