d,N,seed,eps_p,conversion,sigma,T_priv,T_needed,T_acc_calibrated,capped_at_Tmax,round_used,measured_gap_cumavg,V_ind_theory,gap_over_theory_ratio,theorem2_predicted_feasible,empirically_feasible,degenerate_zero_rounds,frac_updates_clipped
10,20000,0,8.0,basic,15.809807082946964,524.463186991536,1048.926373983072,0.018021596001236217,True,149,0.5719151578807861,0.25,2.2876606315231443,True,False,False,0.8759
10,20000,0,8.0,pathA,15.809807082946964,614.7332031830119,1229.4664063660239,0.018021596001236217,True,149,0.5719151578807861,0.25,2.2876606315231443,True,False,False,0.8759
10,20000,0,16.0,basic,15.809807082946964,1714.9909824242739,3429.9819648485477,0.018021596001236217,True,149,0.5719151578807861,0.25,2.2876606315231443,True,False,False,0.8759
10,20000,0,16.0,pathA,15.809807082946964,1902.887280008421,3805.774560016842,0.018021596001236217,True,149,0.5719151578807861,0.25,2.2876606315231443,True,False,False,0.8759
10,20000,1,2.0,basic,15.809807082946964,40.01468313580641,80.02936627161282,0.018021596001236217,False,80,0.5710324087997889,0.25,2.2841296351991556,True,False,False,0.879
10,20000,1,2.0,pathA,15.809807082946964,54.117309485941405,108.23461897188281,0.018021596001236217,False,108,0.548580183209482,0.25,2.194320732837928,True,False,False,0.879
10,20000,1,4.0,basic,15.809807082946964,148.79623060215377,297.59246120430754,0.018021596001236217,True,149,0.541437934926123,0.25,2.165751739704492,True,False,False,0.879
10,20000,1,4.0,pathA,15.809807082946964,186.5345526201072,373.0691052402144,0.018021596001236217,True,149,0.541437934926123,0.25,2.165751739704492,True,False,False,0.879
10,20000,1,8.0,basic,15.809807082946964,524.463186991536,1048.926373983072,0.018021596001236217,True,149,0.541437934926123,0.25,2.165751739704492,True,False,False,0.879
10,20000,1,8.0,pathA,15.809807082946964,614.7332031830119,1229.4664063660239,0.018021596001236217,True,149,0.541437934926123,0.25,2.165751739704492,True,False,False,0.879
10,20000,1,16.0,basic,15.809807082946964,1714.9909824242739,3429.9819648485477,0.018021596001236217,True,149,0.541437934926123,0.25,2.165751739704492,True,False,False,0.879
10,20000,1,16.0,pathA,15.809807082946964,1902.887280008421,3805.774560016842,0.018021596001236217,True,149,0.541437934926123,0.25,2.165751739704492,True,False,False,0.879
100,1000,0,2.0,basic,1.11579568022107,0.19931298461323863,0.39862596922647725,0.7173870352182012,False,0,0.09191454266828783,0.25000000000000006,0.36765817067315126,False,,True,0.963
100,1000,0,2.0,pathA,1.11579568022107,0.0,0.0,0.7173870352182012,False,0,0.09191454266828783,0.25000000000000006,0.36765817067315126,False,,True,0.963
100,1000,0,4.0,basic,1.11579568022107,0.7411534590905441,1.4823069181810882,0.7173870352182012,False,1,0.5742816614929993,0.25000000000000006,2.297126645971997,True,False,False,0.963
100,1000,0,4.0,pathA,1.11579568022107,0.0,0.0,0.7173870352182012,False,0,0.09191454266828783,0.25000000000000006,0.36765817067315126,False,,True,0.963
100,1000,0,8.0,basic,1.11579568022107,2.6123491410460593,5.224698282092119,0.7173870352182012,False,5,0.5116001028266945,0.25000000000000006,2.0464004113067777,True,False,False,0.963
100,1000,0,8.0,pathA,1.11579568022107,3.061983629872202,6.123967259744404,0.7173870352182012,False,6,0.624238584382557,0.25000000000000006,2.4969543375302274,True,False,False,0.963
100,1000,0,16.0,basic,1.11579568022107,8.542363565185923,17.084727130371846,0.7173870352182012,False,17,0.718405381037033,0.25000000000000006,2.8736215241481315,True,False,False,0.963
100,1000,0,16.0,pathA,1.11579568022107,9.478281103434995,18.95656220686999,0.7173870352182012,False,19,0.6945937201384548,0.25000000000000006,2.7783748805538186,True,False,False,0.963
100,1000,1,2.0,basic,1.11579568022107,0.19931298461323863,0.39862596922647725,0.7173870352182012,False,0,0.4896977303623825,0.25000000000000006,1.9587909214495296,False,,True,0.942
100,1000,1,2.0,pathA,1.11579568022107,0.0,0.0,0.7173870352182012,False,0,0.4896977303623825,0.25000000000000006,1.9587909214495296,False,,True,0.942
100,1000,1,4.0,basic,1.11579568022107,0.7411534590905441,1.4823069181810882,0.7173870352182012,False,1,0.689196999710638,0.25000000000000006,2.7567879988425514,True,False,False,0.942
100,1000,1,4.0,pathA,1.11579568022107,0.0,0.0,0.7173870352182012,False,0,0.4896977303623825,0.25000000000000006,1.9587909214495296,False,,True,0.942
100,1000,1,8.0,basic,1.11579568022107,2.6123491410460593,5.224698282092119,0.7173870352182012,False,5,0.6626534839157301,0.25000000000000006,2.65061393566292,True,False,False,0.942
100,1000,1,8.0,pathA,1.11579568022107,3.061983629872202,6.123967259744404,0.7173870352182012,False,6,0.5890639518154865,0.25000000000000006,2.3562558072619457,True,False,False,0.942
100,1000,1,16.0,basic,1.11579568022107,8.542363565185923,17.084727130371846,0.7173870352182012,False,17,0.7761531258781765,0.25000000000000006,3.1046125035127052,True,False,False,0.942
100,1000,1,16.0,pathA,1.11579568022107,9.478281103434995,18.95656220686999,0.7173870352182012,False,19,0.7642952043462812,0.25000000000000006,3.057180817385124,True,False,False,0.942
100,3000,0,2.0,basic,1.9352002480363628,0.5995398613466494,1.1990797226932988,0.7173870352182012,False,1,0.4423929798678584,0.25,1.7695719194714337,True,True,False,0.9633333333333334
100,3000,0,2.0,pathA,1.9352002480363628,0.0,0.0,0.7173870352182012,False,0,0.6297710910980963,0.25,2.519084364392385,False,,True,0.9633333333333334
100,3000,0,4.0,basic,1.9352002480363628,2.229413417103684,4.458826834207368,0.7173870352182012,False,4,0.5560382051098983,0.25,2.2241528204395933,True,False,False,0.9633333333333334
100,3000,0,4.0,pathA,1.9352002480363628,2.7948479856071913,5.5896959712143826,0.7173870352182012,False,6,0.5129973991991416,0.25,2.0519895967965662,True,False,False,0.9633333333333334
100,3000,0,8.0,basic,1.9352002480363628,7.858030147162642,15.716060294325285,0.7173870352182012,False,16,0.5348089843479961,0.25,2.1392359373919843,True,False,False,0.9633333333333334
100,3000,0,8.0,pathA,1.9352002480363628,9.210548603277914,18.421097206555828,0.7173870352182012,False,18,0.5221554444024763,0.25,2.088621777609905,True,False,False,0.9633333333333334
100,3000,0,16.0,basic,1.9352002480363628,25.695704057527127,51.391408115054254,0.7173870352182012,False,51,0.7463044518659293,0.25,2.9852178074637172,True,False,False,0.9633333333333334
100,3000,0,16.0,pathA,1.9352002480363628,28.5109638983065,57.021927796613,0.7173870352182012,False,57,0.7303304465526413,0.25,2.9213217862105654,True,False,False,0.9633333333333334
100,3000,1,2.0,basic,1.9352002480363628,0.5995398613466494,1.1990797226932988,0.7173870352182012,False,1,0.34214886952762796,0.25,1.3685954781105119,True,True,False,0.9603333333333334
100,3000,1,2.0,pathA,1.9352002480363628,0.0,0.0,0.7173870352182012,False,0,0.3413773027325731,0.25,1.3655092109302924,False,,True,0.9603333333333334
