d,eps_acc,eps_p,LD,N_star_basic,N_star_pathA,tightening_ratio
500,0.1,1,50,480308839.2197707,327438834.22832996,1.4668658357268685
500,0.1,2,1,2498602.824265128,1856680.3644044015,1.3457366556825987
500,0.1,2,10,24985848.24234282,18491380.63933426,1.3512159383704285
500,0.1,2,50,124929161.21345921,92423381.86080831,1.351705149694753
500,0.1,4,1,671945.6233553445,538675.8536028378,1.2474025313389407
500,0.1,4,10,6719276.233636636,5364748.972807291,1.2524866061199025
500,0.1,4,50,33596301.1683703,26813962.83586267,1.25294054347821
500,0.1,8,1,190653.01768638488,163468.5078708591,1.1662981461664879
500,0.1,8,10,1906350.1768559779,1627881.1656545396,1.1710622477098758
500,0.1,8,50,9531670.884285474,8136381.866932314,1.1714876514122157
500,0.1,16,1,58317.68262645015,52830.67177964563,1.1038603270026661
500,0.1,16,10,582996.8262719375,525986.5128891972,1.108387405353015
500,0.1,16,50,2914904.131317191,2628901.3622831083,1.1087917459123302
500,0.5,1,1,384251.05537922133,303572.54501239303,1.2657635273424832
500,0.5,1,10,3842474.5537398835,2625201.383113736,1.4636875397278464
500,0.5,1,50,19212356.768954273,13102295.626924217,1.4663351611052302
500,0.5,2,1,99947.31297055687,85689.70452194086,1.166386481645124
500,0.5,2,10,999437.1297089994,740996.078992283,1.3487751933427006
500,0.5,2,50,4997169.648511404,3698276.1278211097,1.351215938398725
500,0.5,4,1,26881.02493450505,24863.208068311582,1.081156738126855
500,0.5,4,10,268774.24934266985,214981.24003348494,1.2502218765730733
500,0.5,4,50,1343855.246710705,1072949.7945481874,1.2524866061199018
500,0.5,8,1,7629.320707395164,7547.221592269231,1.010878058120094
500,0.5,8,10,76257.20707437725,65236.20508108397,1.168939961783414
500,0.5,8,50,381270.0353744643,325576.2331336992,1.1710622477098755
500,0.5,16,1,2335.9073050870434,2441.2360742481337,0.9568543287262662
500,0.5,16,10,23323.073050732197,21080.70860284768,1.106370449406127
500,0.5,16,50,116599.36525294525,105197.30257874129,1.108387405329803
500,1.0,1,1,96063.76384439786,92257.32793678307,1.0412589004336117
500,1.0,1,10,960619.6384475296,657782.3013258165,1.4603914342348807
